StudentIndex,Name,YearOfStudy,CourseID1,CourseTitle1,BM25Score1,CourseID2,CourseTitle2,BM25Score2,CourseID3,CourseTitle3,BM25Score3,CourseID4,CourseTitle4,BM25Score4,CourseID5,CourseTitle5,BM25Score5
10,Student 11,Freshman,PHIL    599  ,PH D DISS PREP,65.7554,PHIL    501  ,T A TRAINING,51.5735,PHYS    110A ,ELECTROMAGNETISM,51.2256,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHYS     20AL,EXPERIMENTAL PHYS,50.676
11,Student 12,Freshman,ECE     146A ,DIG COMM FUND,45.7696,MUS A   244  ,CHAMBER MUS ENS,31.4198,MUS A   245  ,BRASS QUINTET,29.5525,FR      599  ,DISS PREPARATION,29.1421,ME ST   200A ,INT APPR TO ME ST,28.331
12,Student 13,Junior,MATRL   215A ,SEMICOND DEVICE,49.2222,MATRL   598  ,MS THESIS RSCH-PREP,49.1244,C LIT   599  ,PH D DIS RE & PREP,45.2473,ECE     153A ,HRDW/SFTW INTERFACE,39.3778,ED      360F ,ELD/SDAIE (MST),38.4654
13,Student 14,Freshman,PHYS      6AL,INTRO EXPER PHYSICS,61.4161,PHYS    143L ,PARTICLE PHYS LAB,35.3595,CMPSC   595A ,GP STD: FOUNDATIONS,34.0558,ARTHI     6F ,SUR ARCH & PLAN,31.8413,PHYS     13AL,INTRO TO EXPER PHYS,31.262
14,Student 15,Senior,C LIT   197  ,JR/SR SEMINAR,52.2236,C LIT   197H ,SENIOR HONORS SEM,50.4515,C LIT   196H ,HONORS RESEARCH,48.9776,CMPSC   111  ,INT COMPUTAT SCI,45.8241,ANTH    206GW,CUR PROBS IN ARCH,43.8258
15,Student 16,Freshman,C LIT   196H ,HONORS RESEARCH,50.1998,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   180  ,COMPUTER GRAPHICS,42.0864,CMPSC   189A ,SR CMPTR PRJCT,42.0864
16,Student 17,Junior,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,C LIT   191  ,FANTASY/FANTASTIC,40.9043,C LIT   194I ,INTERNSHIP,36.7032
17,Student 18,Sophomore,C LIT   197  ,JR/SR SEMINAR,52.2236,C LIT   197H ,SENIOR HONORS SEM,50.4515,C LIT   196H ,HONORS RESEARCH,48.9776,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199
18,Student 19,Freshman,PSTAT   190  ,ULA TRAINING,39.2279,MATH    501  ,TCH ASST TRAINING,33.9581,C LIT   197H ,SENIOR HONORS SEM,33.9186,PHIL      3  ,CRITICAL THINKING,32.6605,ECE     130A ,SIGNAL ANALYSIS,32.1336
19,Student 20,Sophomore,MATRL   598  ,MS THESIS RSCH-PREP,51.3084,C LIT   599  ,PH D DIS RE & PREP,45.2473,FAMST   106A ,CREW PRODUCTION ONE,44.2397,ECE     153A ,HRDW/SFTW INTERFACE,42.4095,SOC     152B ,TOPICS IN SEXUALITY,42.0922
20,Student 21,Freshman,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,MUS A   252  ,VIOLIN ENSEMBLE,40.3787,SOC     185M ,MARXIST&CRIT THEORY,39.2094
21,Student 22,Junior,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,PHYS     20AL,EXPERIMENTAL PHYS,33.4419,PHYS    119A ,THERMO & STAT PHYS,32.4273,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,PHIL    252G ,PLATO,30.3604
22,Student 23,Graduate,ECON    204A ,MACROECON THEORY,41.5797,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,PHYS     21  ,GEN PHYS,39.6952
23,Student 24,Sophomore,FR      104C ,ADV FRENCH GRAMMAR,46.0386,FAMST   250  ,CULTURAL THEORY,41.4718,EARTH   113  ,ENG & ENV GEOLOGY,36.4808,DANCE   190  ,UCSB DANCE COMPANY,36.4808,C LIT   196H ,HONORS RESEARCH,36.0067
24,Student 25,Junior,MUS A   147S ,JAZZ ENSEMBLE,59.4835,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432,PHIL    183  ,BEGIN MODERN LOGIC,55.2807,MUS A   270M ,MIDDLE EAST ENS.,54.8601
25,Student 26,Junior,MUS A   249  ,PERCUSSION ENS,60.9379,MUS A   147S ,JAZZ ENSEMBLE,59.4835,C LIT   197H ,SENIOR HONORS SEM,56.9251,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432
26,Student 27,Senior,ECE     146A ,DIG COMM FUND,54.536,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,CMPSC   110  ,INTRO RESEARCH CS,44.4517
27,Student 28,Graduate,ECE     153A ,HRDW/SFTW INTERFACE,42.4095,SOC     152B ,TOPICS IN SEXUALITY,42.0922,MATRL   598  ,MS THESIS RSCH-PREP,40.8732,ED      360F ,ELD/SDAIE (MST),38.4654,ECON    136A ,INTERMED ACCOUNTING,34.6526
28,Student 29,Junior,SOC     152B ,TOPICS IN SEXUALITY,44.0411,SOC     232  ,MARX SEMINAR,42.6552,PHYS      7B ,BASIC PHYSICS,42.2407,PHYS     20AL,EXPERIMENTAL PHYS,42.063,C LIT   191  ,FANTASY/FANTASTIC,40.6217
29,Student 30,Senior,FAMST   106A ,CREW PRODUCTION ONE,44.2397,C LIT   599  ,PH D DIS RE & PREP,44.2034,IQB     290CE,C. ELEG DEVELOP,42.7616,GREEK   598  ,MA RESEARCH & PREP,38.3745,RENST   199  ,INDEPENDENT STUDIES,34.5948
30,Student 31,Sophomore,MATRL   599  ,PH D DISS PREP,47.256,BL ST   199RA,INDEP RESEARCH ASST,37.4729,MATH    202A ,COMPLEX ANALYSIS,35.521,MATH      3B ,CALC WITH APPLI 2,35.521,C LIT   197H ,SENIOR HONORS SEM,33.9186
31,Student 32,Graduate,C LIT   196H ,HONORS RESEARCH,82.6596,C LIT   197H ,SENIOR HONORS SEM,80.2132,C LIT   191  ,FANTASY/FANTASTIC,79.0395,C LIT   197  ,JR/SR SEMINAR,74.5332,C LIT   194I ,INTERNSHIP,64.6641
32,Student 33,Senior,C LIT   196H ,HONORS RESEARCH,50.1998,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   184  ,MOBILE APP DEV,42.0864,CMPSC   181  ,INTRO COMP VISION,42.0864
33,Student 34,Sophomore,GLOBL   199  ,INDEPENDENT STUDIES,42.6578,PHYS    142L ,COND MATTER LAB,36.1337,AS AM   181  ,DESIGN FOR EQUITY,34.5655,CMPSC   502  ,TEACHING COMPTR SCI,34.2449,ARTHI   192D ,UCSB INTERNSHIP,34.0062
34,Student 35,Junior,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A   249  ,PERCUSSION ENS,34.2094,MUS A   170Z ,ETHNO PERF ENSEMBLE,34.1928,PHIL    151  ,PRE-SOCRATICS,33.6233,PHYS      7B ,BASIC PHYSICS,33.4102
35,Student 36,Senior,ECE     146A ,DIG COMM FUND,45.7696,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,MUS A   244  ,CHAMBER MUS ENS,31.4198,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,MUS A   245  ,BRASS QUINTET,29.5525
36,Student 37,Sophomore,FAMST   106A ,CREW PRODUCTION ONE,53.1524,ARTHI   192D ,UCSB INTERNSHIP,51.1481,ARTHI     6F ,SUR ARCH & PLAN,48.4747,ARTHI   265  ,SEM ARCH HIST URBAN,46.6455,ART     594  ,SP STUDIES/ST ART,45.8836
37,Student 38,Sophomore,C LIT   196H ,HONORS RESEARCH,60.2649,C LIT   197  ,JR/SR SEMINAR,58.8297,C LIT   197H ,SENIOR HONORS SEM,57.2067,C LIT   191  ,FANTASY/FANTASTIC,50.5696,C LIT   194I ,INTERNSHIP,47.2292
38,Student 39,Freshman,ECE     146A ,DIG COMM FUND,54.536,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,SOC     185M ,MARXIST&CRIT THEORY,46.0005
39,Student 40,Senior,SOC     152B ,TOPICS IN SEXUALITY,53.997,CMPSC   190DD,SPECIAL TOPICS,52.9779,ECE     153A ,HRDW/SFTW INTERFACE,49.9309,MATRL   215A ,SEMICOND DEVICE,49.2222,C LIT   193  ,TRANSLATION STUDIES,48.7071
40,Student 41,Senior,ECE     146A ,DIG COMM FUND,54.536,ME       11  ,INTRO CONCEPTS ME,47.0279,MUS      27D ,INTERMEDIATE OBOE,44.9884,CMPSC    24  ,PROBLEM SOLVING II,44.4517,CMPSC   110  ,INTRO RESEARCH CS,44.4517
41,Student 42,Freshman,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MUS A   252  ,VIOLIN ENSEMBLE,40.3787,SOC     185M ,MARXIST&CRIT THEORY,39.2094
42,Student 43,Sophomore,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,SOC     185M ,MARXIST&CRIT THEORY,39.2094,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749
43,Student 44,Freshman,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,PHYS     21  ,GEN PHYS,47.6702,C LIT   196H ,HONORS RESEARCH,47.2941,C LIT   191  ,FANTASY/FANTASTIC,40.9043
44,Student 45,Freshman,FAMST   250  ,CULTURAL THEORY,60.9228,FR      104C ,ADV FRENCH GRAMMAR,46.0386,EACS      5  ,INTRO TO BUDDHISM,35.5303,DANCE   190  ,UCSB DANCE COMPANY,29.5273,EARTH   113  ,ENG & ENV GEOLOGY,29.5273
45,Student 46,Junior,LING    193  ,CAPSTONE SEM,40.7399,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,ARTHI   192D ,UCSB INTERNSHIP,35.3052,FAMST   195I ,INTERNSHIP,35.2349,INT      86VC,PORTR & SELF IN AI,34.896
46,Student 47,Sophomore,ME      154  ,STRUCTURES,46.0208,MAT     596  ,DIRECTED RESEARCH,43.2842,ME      157  ,INTRO MULTIPHYS SIM,42.6236,EARTH   597  ,INDIV STD MA & PHD,41.7077,EEMB    185  ,OCEANOGRAPHY FLD WK,41.7077
47,Student 48,Sophomore,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858,GLOBL     1  ,GLOBL HIS/CUL/IDEOL,34.6941,ARTHI   192D ,UCSB INTERNSHIP,34.0062,AS AM   181  ,DESIGN FOR EQUITY,32.9766
48,Student 49,Freshman,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,CMPSC   502  ,TEACHING COMPTR SCI,39.0928,PHYS    115C ,QUANTUM MECHANICS,37.2285,C LIT   197H ,SENIOR HONORS SEM,33.9186,PHYS     20AL,EXPERIMENTAL PHYS,33.4419
49,Student 50,Senior,FR      599  ,DISS PREPARATION,43.4602,FAMST   106A ,CREW PRODUCTION ONE,40.543,GREEK   598  ,MA RESEARCH & PREP,38.3745,PHIL    599  ,PH D DISS PREP,36.2768,GLOBL   124  ,GLOBAL PEAC & CONFL,35.2322
50,Student 51,Senior,C LIT   196H ,HONORS RESEARCH,86.2065,C LIT   197  ,JR/SR SEMINAR,78.1557,CMPSC   111  ,INT COMPUTAT SCI,76.3735,C LIT   197H ,SENIOR HONORS SEM,72.732,CMPSC    40  ,FOUNDATION COMP SCI,70.8665
51,Student 52,Graduate,FR      599  ,DISS PREPARATION,43.4602,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,FAMST   106A ,CREW PRODUCTION ONE,36.0866,MATRL   200S ,INTRO STRUC & PHASE,34.6411,MATRL   207  ,MECH OF MATERIALS,34.6411
52,Student 53,Senior,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,LING    272  ,LING COLLOQUIUM,35.8356
53,Student 54,Senior,FR      599  ,DISS PREPARATION,38.7733,C LIT   196H ,HONORS RESEARCH,37.229,CMPSC    16  ,PROBLEM SOLVING I,34.2023,EEMB    183  ,TEACHING ASSISTANCE,34.1946,C LIT   194I ,INTERNSHIP,31.5477
54,Student 55,Senior,C LIT   196H ,HONORS RESEARCH,60.2649,C LIT   197  ,JR/SR SEMINAR,58.8297,C LIT   197H ,SENIOR HONORS SEM,57.2067,C LIT   191  ,FANTASY/FANTASTIC,50.5696,C LIT   194I ,INTERNSHIP,47.2292
55,Student 56,Graduate,MCDB    290CE,C ELEGANS DEVELOP,39.3031,FR      599  ,DISS PREPARATION,38.5157,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,FAMST   106A ,CREW PRODUCTION ONE,36.0866,MATRL   200S ,INTRO STRUC & PHASE,34.6411
56,Student 57,Junior,INT      86VC,PORTR & SELF IN AI,37.7181,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,MATRL   207  ,MECH OF MATERIALS,34.6411,MATRL   200S ,INTRO STRUC & PHASE,34.6411,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411
57,Student 58,Senior,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858,RENST   199  ,INDEPENDENT STUDIES,34.5948,AS AM   181  ,DESIGN FOR EQUITY,34.5655,CMPSC   502  ,TEACHING COMPTR SCI,34.2449
58,Student 59,Senior,PHYS      6AL,INTRO EXPER PHYSICS,54.9233,MUS A   252  ,VIOLIN ENSEMBLE,44.1335,PHYS    143L ,PARTICLE PHYS LAB,43.7743,PHYS    260J ,PHYSICS OUTREACH,35.4068,ITAL    199RA,INDEPENDEN RESEARCH,34.9809
59,Student 60,Junior,PHIL    599  ,PH D DISS PREP,36.2768,EEMB     11  ,BIOME I,33.1029,ME      292  ,DESIGN TRANSDUCER,33.1029,COMM    160ME,SPECIAL TOPICS COMM,31.347,EEMB    133  ,BIODIVERSITY & CONS,31.3285
60,Student 61,Freshman,SOC     152B ,TOPICS IN SEXUALITY,53.997,ECE     153A ,HRDW/SFTW INTERFACE,49.9309,C LIT   193  ,TRANSLATION STUDIES,48.7071,C LIT   210  ,PROSEM IN COMP LIT,48.1287,CMPSC   190DD,SPECIAL TOPICS,47.4665
61,Student 62,Junior,ARTHI     6F ,SUR ARCH & PLAN,37.3858,RENST   199  ,INDEPENDENT STUDIES,34.5948,ARTHI   192D ,UCSB INTERNSHIP,34.0062,C LIT   197H ,SENIOR HONORS SEM,33.9186,GLOBL   197E ,SPECIAL TOPICS,33.886
62,Student 63,Junior,FR      599  ,DISS PREPARATION,36.9036,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A   249  ,PERCUSSION ENS,34.2094,MUS A   170Z ,ETHNO PERF ENSEMBLE,34.1928,PHIL    151  ,PRE-SOCRATICS,33.6233
63,Student 64,Graduate,C LIT   196H ,HONORS RESEARCH,86.2065,C LIT   197  ,JR/SR SEMINAR,78.1557,CMPSC   111  ,INT COMPUTAT SCI,76.3735,C LIT   197H ,SENIOR HONORS SEM,72.732,CMPSC    40  ,FOUNDATION COMP SCI,70.8665
64,Student 65,Senior,PHYS     21  ,GEN PHYS,47.6702,ME       11  ,INTRO CONCEPTS ME,42.0518,C LIT   196H ,HONORS RESEARCH,37.229,CMPSC    16  ,PROBLEM SOLVING I,34.2023,AS AM   181  ,DESIGN FOR EQUITY,33.2985
65,Student 66,Sophomore,AS AM   181  ,DESIGN FOR EQUITY,65.5236,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,CMPSC   502  ,TEACHING COMPTR SCI,39.0928,GLOBL     1  ,GLOBL HIS/CUL/IDEOL,36.4368,GEOG    131  ,MOUNTAIN WEATHER,34.124
66,Student 67,Sophomore,ECE     153A ,HRDW/SFTW INTERFACE,42.4095,SOC     152B ,TOPICS IN SEXUALITY,42.0922,MATRL   598  ,MS THESIS RSCH-PREP,40.8732,ED      360F ,ELD/SDAIE (MST),38.4654,PHYS     21  ,GEN PHYS,36.5827
67,Student 68,Graduate,PHYS      6CL,INTRO EXPER PHYSICS,46.4717,PHYS      7B ,BASIC PHYSICS,42.7485,CMPSC   502  ,TEACHING COMPTR SCI,39.0928,PHYS    134L ,OBSER. ASTROPHYSICS,37.9248,GREEK   598  ,MA RESEARCH & PREP,30.66
68,Student 69,Freshman,LING    131  ,SOCIOCULT LING,36.1248,MUS A   147S ,JAZZ ENSEMBLE,35.6901,PHIL    151  ,PRE-SOCRATICS,33.6233,PHIL    128  ,FEMINIST PHILOSOPHY,33.2659,PHIL    183  ,BEGIN MODERN LOGIC,33.1684
69,Student 70,Freshman,FAMST   106A ,CREW PRODUCTION ONE,44.2397,INT      86VC,PORTR & SELF IN AI,42.8569,FR      599  ,DISS PREPARATION,38.5157,GREEK   598  ,MA RESEARCH & PREP,38.3745,RENST   199  ,INDEPENDENT STUDIES,34.5948
70,Student 71,Sophomore,C LIT   599  ,PH D DIS RE & PREP,60.1022,SOC     152B ,TOPICS IN SEXUALITY,53.997,CMPSC   190DD,SPECIAL TOPICS,52.9779,MATRL   598  ,MS THESIS RSCH-PREP,51.3084,ECE     153A ,HRDW/SFTW INTERFACE,49.9309
71,Student 72,Sophomore,EEMB    144L ,MARINE MICRO LAB,38.2453,EARTH   285  ,PHYS. VOLCANOLOGY,30.9106,PHYS      6CL,INTRO EXPER PHYSICS,28.8822,ANTH    125  ,ANTHRO OF GENDER,27.6622,ME      154  ,STRUCTURES,27.6125
72,Student 73,Graduate,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,C LIT   191  ,FANTASY/FANTASTIC,40.9043,C LIT   194I ,INTERNSHIP,36.7032
73,Student 74,Freshman,CMPSC   111  ,INT COMPUTAT SCI,45.8241,ANTH    206GW,CUR PROBS IN ARCH,43.8786,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   181  ,INTRO COMP VISION,42.0864,CMPSC   184  ,MOBILE APP DEV,42.0864
74,Student 75,Senior,MATRL   598  ,MS THESIS RSCH-PREP,51.3084,C LIT   599  ,PH D DIS RE & PREP,45.2473,PHYS     21  ,GEN PHYS,44.5577,ECE     153A ,HRDW/SFTW INTERFACE,42.4095,SOC     152B ,TOPICS IN SEXUALITY,42.0922
75,Student 76,Senior,C LIT   599  ,PH D DIS RE & PREP,58.7608,IQB     290CE,C. ELEG DEVELOP,42.7616,ARTHI     6F ,SUR ARCH & PLAN,37.3858,MUS A    70N ,MIDDLE EAST CHORUS,34.4685,MUS A    38P ,OPERA PRODUCTION,34.2263
76,Student 77,Senior,PHYS      6AL,INTRO EXPER PHYSICS,61.4161,LING    131  ,SOCIOCULT LING,36.1248,MUS A   147S ,JAZZ ENSEMBLE,35.6901,PHYS    143L ,PARTICLE PHYS LAB,35.3595,CMPSC   595A ,GP STD: FOUNDATIONS,34.0558
77,Student 78,Junior,ECE     146A ,DIG COMM FUND,54.536,ME       11  ,INTRO CONCEPTS ME,41.003,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736
78,Student 79,Junior,ECON    204A ,MACROECON THEORY,41.5797,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,PHYS     21  ,GEN PHYS,39.6952
79,Student 80,Senior,ECE     146A ,DIG COMM FUND,45.7696,MUS A   244  ,CHAMBER MUS ENS,31.4198,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,MUS A   245  ,BRASS QUINTET,29.5525,PHIL    599  ,PH D DISS PREP,29.4785
80,Student 81,Junior,GREEK   598  ,MA RESEARCH & PREP,38.3745,C LIT   197H ,SENIOR HONORS SEM,33.9186,ENV S   199  ,INDEPENDENT STUDIES,32.8772,C LIT   197  ,JR/SR SEMINAR,29.8408,FAMST   106A ,CREW PRODUCTION ONE,29.4616
81,Student 82,Senior,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,SOC     185M ,MARXIST&CRIT THEORY,39.2094,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749
82,Student 83,Senior,C LIT   599  ,PH D DIS RE & PREP,66.4858,C LIT   196H ,HONORS RESEARCH,48.9776,CMPSC   111  ,INT COMPUTAT SCI,45.8241,IQB     290CE,C. ELEG DEVELOP,42.7616,CMPSC    40  ,FOUNDATION COMP SCI,42.5199
83,Student 84,Freshman,C LIT   599  ,PH D DIS RE & PREP,58.7608,IQB     290CE,C. ELEG DEVELOP,42.7616,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A    70N ,MIDDLE EAST CHORUS,34.4685,MUS A    38P ,OPERA PRODUCTION,34.2263
84,Student 85,Senior,FAMST   195I ,INTERNSHIP,35.2349,PORT    199  ,INDEP PORT STUDIES,32.9451,ECE     130A ,SIGNAL ANALYSIS,32.1336,PSTAT   190  ,ULA TRAINING,29.8029,CMPSC   293B ,SPEC TOPICS CS SYS,29.4055
85,Student 86,Junior,FAMST   106A ,CREW PRODUCTION ONE,53.1524,C LIT   599  ,PH D DIS RE & PREP,44.2034,GLOBL   197E ,SPECIAL TOPICS,44.1211,GREEK   199  ,INDEP STUDY GREEK,43.8704,AS AM   181  ,DESIGN FOR EQUITY,43.1172
86,Student 87,Junior,LING    195A ,HONORS THESIS,54.9511,MUS A   252  ,VIOLIN ENSEMBLE,41.4391,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736
87,Student 88,Graduate,C LIT   196H ,HONORS RESEARCH,60.2649,C LIT   191  ,FANTASY/FANTASTIC,50.5696,CMPSC     5B ,INTRO DATA SCI 2,47.283,C LIT   194I ,INTERNSHIP,47.2292,C LIT   595  ,DOCTORAL COLLOQUIUM,46.495
88,Student 89,Freshman,SOC     185C ,CULTURAL THEORY,50.7513,SOC     152B ,TOPICS IN SEXUALITY,44.0411,SOC     232  ,MARX SEMINAR,42.6552,SOC     290A ,PROFESS DEVLPMT SEM,41.041,MATRL   207  ,MECH OF MATERIALS,40.736
89,Student 90,Senior,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,C LIT   197H ,SENIOR HONORS SEM,33.9186,FR      599  ,DISS PREPARATION,33.8289,PHYS     20AL,EXPERIMENTAL PHYS,33.4419,PHYS    119A ,THERMO & STAT PHYS,32.4273
90,Student 91,Senior,C LIT   197  ,JR/SR SEMINAR,54.1862,C LIT   196H ,HONORS RESEARCH,50.1998,C LIT   197H ,SENIOR HONORS SEM,48.984,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199
91,Student 92,Senior,FR      599  ,DISS PREPARATION,38.5157,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A   249  ,PERCUSSION ENS,34.2094,MUS A   170Z ,ETHNO PERF ENSEMBLE,34.1928,PHIL    151  ,PRE-SOCRATICS,33.6233
92,Student 93,Senior,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,LING    131  ,SOCIOCULT LING,36.2316
93,Student 94,Sophomore,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   189A ,SR CMPTR PRJCT,42.0864,CMPSC   184  ,MOBILE APP DEV,42.0864,CMPSC   181  ,INTRO COMP VISION,42.0864
